#,Card,Card type,Type,G.S.,Level,ATK,DFD,picture,card_wiki_url
1,Blue-eyes White Dragon,Monster,Dragon,"Sun, Mars",8.0,3000.0,2500.0,https://static.wikia.nocookie.net/yugioh/images/9/90/BlueeyesWhiteDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20100331141007,https://yugioh.fandom.com/wiki/Blue-eyes_White_Dragon_(FMR)
2,Mystical Elf,Monster,Spellcaster,"Sun, Jupiter",4.0,800.0,2000.0,https://static.wikia.nocookie.net/yugioh/images/d/d0/MysticalElf-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170508,https://yugioh.fandom.com/wiki/Mystical_Elf_(FMR)
3,Hitotsu-me Giant,Monster,Beast-Warrior,"Moon, Mars",4.0,1200.0,1000.0,https://static.wikia.nocookie.net/yugioh/images/b/ba/HitotsumeGiant-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170151,https://yugioh.fandom.com/wiki/Hitotsu-me_Giant_(FMR)
4,Baby Dragon,Monster,Dragon,"Uranus, Sun",3.0,1200.0,700.0,https://static.wikia.nocookie.net/yugioh/images/7/7c/BabyDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170143,https://yugioh.fandom.com/wiki/Baby_Dragon_(FMR)
5,Ryu-kishin,Monster,Fiend,"Saturn, Sun",3.0,1000.0,500.0,https://static.wikia.nocookie.net/yugioh/images/4/47/Ryukishin-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170511,https://yugioh.fandom.com/wiki/Ryu-kishin_(FMR)
6,Feral Imp,Monster,Fiend,"Moon, Jupiter",4.0,1300.0,1400.0,https://static.wikia.nocookie.net/yugioh/images/5/53/FeralImp-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170149,https://yugioh.fandom.com/wiki/Feral_Imp_(FMR)
7,Winged Dragon #1,Monster,Dragon,"Saturn, Moon",4.0,1400.0,1200.0,https://static.wikia.nocookie.net/yugioh/images/c/c5/WingedDragon1-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170751,https://yugioh.fandom.com/wiki/Winged_Dragon_1
8,Mushroom Man,Monster,Plant,"Jupiter, Sun",2.0,800.0,600.0,https://static.wikia.nocookie.net/yugioh/images/5/5a/MushroomMan-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170507,https://yugioh.fandom.com/wiki/Mushroom_Man_(FMR)
9,Shadow Specter,Monster,Zombie,"Moon, Saturn",1.0,500.0,200.0,https://static.wikia.nocookie.net/yugioh/images/3/36/ShadowSpecter-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170513,https://yugioh.fandom.com/wiki/Shadow_Specter_(FMR)
10,Blackland Fire Dragon,Monster,Dragon,"Mercury, Moon",4.0,1500.0,800.0,https://static.wikia.nocookie.net/yugioh/images/7/70/BlacklandFireDragon-FMR-EN-VG.png/revision/latest/scale-to-width-down/200?cb=20131215170146,https://yugioh.fandom.com/wiki/Blackland_Fire_Dragon_(FMR)
